湖北	仙桃	?河镇	1	仙桃市?河镇代售点	
湖北	武汉	蔡甸区	1	武汉市蔡甸区中百代售点	
湖北	武汉	蔡甸区	1	武汉市汉阳大道代售点	
湖北	荆州	公安县	1	荆州市公安宏泰代售点	
湖北	黄冈	黄冈	1	黄冈市考栅街代售点	
湖北	黄冈	黄梅县	1	黄梅县蔡山镇代售点	
湖北	黄冈	黄梅县	1	黄梅县沙岭路代售点	
湖北	黄冈	黄梅县	1	黄梅县孔垄镇代售点	
湖北	黄冈	黄州	1	黄冈市黄州铁办客票代售点	
湖北	武汉	黄陂区	1	武汉市天河机场代售点	
湖北	荆州市	监利县	1	荆州市新沟镇代售点	
湖北	武汉	江岸	1	武汉市后湖代售点	
湖北	武汉	江岸区	1	武汉市安居路代售点	
湖北	荆州市	江陵县	1	荆州市江陵县代售点	
湖北	武汉	江夏区	1	武汉市纸坊代售点	
湖北	荆州	荆州	1	荆州市荆台代售点	
湖北	荆州市	荆州	1	荆州市荆岳代售点	
湖北	黄冈	经济开发区	1	黄冈市经济开发区代售点	
湖北	黄冈	罗田县	1	黄冈市罗田客票代售点	
湖北	随州市	随州	1	随州市殷店代售点	
湖北	仙桃市	通海口镇	1	仙桃通海口镇代售点	
湖北	黄冈	团风县	1	黄冈市团风客票代售点	
湖北	武汉	武汉	1	武汉市纱帽镇代售点	
湖北	黄冈	英山县	1	黄冈市英山代售点	
湖北	黄冈	英山县	1	黄冈市英山客票代售点	
湖北	天门	岳口镇	1	天门市岳口镇代售点	
湖北	潜江市	张金镇	1	潜江市张金镇代售点	
湖北	宜都市	枝城镇	1	宜都市枝城代售点	
湖北	黄冈	蕲春县	1	黄冈市蕲春客票代售点	
湖北	黄冈	浠水	1	黄冈市浠水县客票代售点	
湖北	黄冈	浠水	1	黄冈市浠水县铁办客票代售点	
湖北	黄冈	黄梅县	1	黄梅县新开镇代售点	
湖北	黄冈	黄梅县	1	黄梅县大河镇代售点	
湖北	黄冈	黄梅县	1	黄梅县龙感湖代售点	
湖北	黄冈	黄梅县	1	黄梅县分路镇代售点	
湖北	黄冈	黄梅县	1	黄梅县濯港镇代售点	
湖北	黄冈	黄梅县	1	黄梅县黄梅大道代售点	
湖北	黄冈	黄梅县	1	黄梅县小池镇精品南街代售点	
湖北	黄冈	武穴市	1	武穴市大法寺镇代售点	
湖北	黄冈	武穴市	1	武穴市龙坪镇代售点	
湖北	黄冈	武穴市	1	武穴市花桥镇代售点	
湖北	十堰	茅箭区	1	十堰市顾家岗客票代售点	
湖北	十堰	十堰	1	十堰市三堰客票代售点	
湖北	十堰	十堰	1	十堰市张湾客票代售点	
湖北	十堰	十堰	1	十堰市东岳路客票代售点	
湖北	十堰	十堰	1	十堰市柳林沟客票代售点	
湖北	十堰	十堰	1	十堰市花果客票代售点	
湖北	十堰	十堰	1	十堰市五堰客票代售点	
湖北	十堰	十堰	1	十堰市六堰广场客票代售点	
湖北	十堰	十堰	1	十堰市白浪客票代售点	
湖北	十堰	郧西	1	十堰市郧西县客票代售点	
湖北	十堰	郧县	1	十堰市郧县客票代售点	
湖北	十堰	竹山县	1	十堰市竹山客票代售点	
湖北	十堰	丹江口市	1	十堰市武当山代售点	
湖北	襄阳	保康	1	襄阳市保康客票代售点	
湖北	襄阳	丹江口	1	十堰市丹江口客票代售点	
湖北	襄阳	樊城区	1	襄阳市长征路客票代售点	
湖北	襄阳	樊城区	1	襄阳市大庆西路客票代售点	
湖北	襄阳	樊城区	1	襄阳市光彩大市场客票代售点	
湖北	襄阳	樊城区	1	襄阳市长虹北路客票代售点	
湖北	襄阳	樊城区	1	襄阳市太平店客票代售点	
湖北	襄阳	樊城区	1	襄阳市铁旅客票代售点	
湖北	襄阳	樊城区	1	襄阳市白马广场客票代售点	
湖北	襄阳	樊城区	1	襄阳市二汽客票代售点（大胡子宾馆旁）	
湖北	襄阳	樊城区	1	襄阳市人民路客票代售点	
湖北	襄阳	樊城区	1	襄阳市松鹤路客票代售点	
湖北	襄阳	樊城区	1	襄阳市新华路客票代售点	
湖北	襄阳	樊城区	1	襄阳市解放东路客票代售点	
湖北	襄阳	樊城区	1	襄阳市七里河客票代售点	
湖北	襄阳	樊城区	1	襄阳市长虹路军翔客票代售点	
湖北	襄阳	房县	1	十堰市房县客票代售点	
湖北	襄阳	谷城	1	襄阳市谷城客票代售点	
湖北	襄阳	老河口	1	襄阳市老河口客票代售点	
湖北	襄阳	南漳	1	襄阳市南漳代售点	
湖北	襄阳	襄城区	1	襄阳市襄阳学院代售点	
湖北	襄阳	襄城区	1	襄阳市襄城东街客票代售点	
湖北	襄阳	襄城区	1	襄阳市鼓楼客票代售点	
湖北	襄阳	襄城区	1	襄阳市胜利街客票代售点	
湖北	襄阳	襄城区	1	襄阳市檀溪路客票代售点	
湖北	襄阳	襄城区	1	襄阳市襄城客票代售点	
湖北	襄阳	襄城区	1	襄阳市国际商都客票代售点	
湖北	襄阳	襄城区	1	襄阳市南山宾馆客票代售点	
湖北	襄阳	襄城区	1	襄阳市肖湾客票代售点	
湖北	襄阳	宜城	1	襄阳市宜城客票代售点	
湖北	襄阳	宜城市	1	襄阳市宜城代售点	
湖北	襄阳	枣阳	1	襄阳市枣阳新华路客票代售点	
